Orthogroup	Desmarestia-dudresnayi_BRAKER_proteins	Desmarestia-herbacea_MALE_proteins	PUBLIC_Ectocarpus-sp7_proteins	PUBLIC_Undaria-pinnatifida_MALE.pep	Schizocladia-ischiensis_proteins	Scytosiphon-promiscuus_MALE_proteins
OG0001810	Ddudresnayi_g19799.t1, Ddudresnayi_g19800.t1, Ddudresnayi_g19801.t1	prot_D-herbacea_M_contig66.13791.1	Ec-06_001260.1, Ec-06_001260.2	Upin_00012727	prot_S-ischiensis_contig25.7827.1	prot_S-promiscuus_M_contig3.9463.1
OG0001811	Ddudresnayi_g19869.t1, Ddudresnayi_g19869.t2	prot_D-herbacea_M_contig66.13848.1	Ec-06_000230.1, Ec-06_000230.2	Upin_00013094	prot_S-ischiensis_contig25.7816.1, prot_S-ischiensis_contig25.7818.1	prot_S-promiscuus_M_contig3.9537.1
OG0001812	Ddudresnayi_g19982.t1, Ddudresnayi_g19983.t1, Ddudresnayi_g19985.t1	prot_D-herbacea_M_contig37.9526.1	Ec-19_001500.1, Ec-19_001500.3, Ec-19_001500.5	Upin_00004362		prot_S-promiscuus_M_contig18.4213.1
OG0001813	Ddudresnayi_g20017.t1	prot_D-herbacea_M_contig37.9554.1	Ec-19_001230.1	Upin_00003907	prot_S-ischiensis_contig26.7987.1, prot_S-ischiensis_contig56.15692.1, prot_S-ischiensis_contig68.17779.1, prot_S-ischiensis_contig93.20965.1	prot_S-promiscuus_M_contig18.4175.1
OG0001814	Ddudresnayi_g20026.t1	prot_D-herbacea_M_contig37.9562.1	Ec-16_000680.1, Ec-19_000870.1	Upin_00003899	prot_S-ischiensis_contig39.11741.1, prot_S-ischiensis_contig93.20957.1, prot_S-ischiensis_contig93.20959.1	prot_S-promiscuus_M_contig18.4164.1
OG0001815	Ddudresnayi_g20180.t1	prot_D-herbacea_M_contig20.5114.1	Ec-27_005450.1, Ec-27_005460.1	Upin_00001409, Upin_00001410	prot_S-ischiensis_contig32.10152.1, prot_S-ischiensis_contig32.10156.1	prot_S-promiscuus_M_contig13.2443.1
OG0001816	Ddudresnayi_g20320.t1, Ddudresnayi_g20536.t1, Ddudresnayi_g30540.t1	prot_D-herbacea_M_contig52.12224.1, prot_D-herbacea_M_contig60.13375.1, prot_D-herbacea_M_contig65.13766.1, prot_D-herbacea_M_contig69.14019.1				prot_S-promiscuus_M_contig13.2286.1, prot_S-promiscuus_M_contig4.12362.1
OG0001817	Ddudresnayi_g20345.t1	prot_D-herbacea_M_contig99.16224.1	Ec-27_004900.1, Ec-27_004900.2, Ec-27_004900.3, Ec-27_004900.4	Upin_00001105	prot_S-ischiensis_contig3.9556.1	prot_S-promiscuus_M_contig13.2370.1
OG0001818	Ddudresnayi_g20396.t1	prot_D-herbacea_M_contig414.10535.1, prot_D-herbacea_M_contig99.16267.1	Ec-27_004520.1, Ec-27_004520.2	Upin_00001470	prot_S-ischiensis_contig16.4154.1, prot_S-ischiensis_contig16.4155.1	prot_S-promiscuus_M_contig13.2403.1
OG0001819	Ddudresnayi_g20414.t1, Ddudresnayi_g20415.t1, Ddudresnayi_g20416.t1	prot_D-herbacea_M_contig537.12447.1	Ec-27_004570.1	Upin_00001091	prot_S-ischiensis_contig22.6593.1, prot_S-ischiensis_contig45.13239.1	prot_S-promiscuus_M_contig13.2339.1
OG0001820	Ddudresnayi_g20420.t1		Ec-27_004440.1, Ec-27_004440.3, Ec-27_004440.4, Ec-27_004440.5, Ec-27_004440.6	Upin_00001460, Upin_00001461		prot_S-promiscuus_M_contig13.2335.1
OG0001821	Ddudresnayi_g20421.t1, Ddudresnayi_g20425.t1	prot_D-herbacea_M_contig129.1846.1, prot_D-herbacea_M_contig129.1847.1, prot_D-herbacea_M_contig537.12442.1	Ec-27_004350.1	Upin_00001088	prot_S-ischiensis_contig109.1944.1	prot_S-promiscuus_M_contig13.2323.1
OG0001822	Ddudresnayi_g20475.t1, Ddudresnayi_g20475.t2, Ddudresnayi_g20475.t3	prot_D-herbacea_M_contig129.1885.1	Ec-27_004020.1, Ec-27_004020.3	Upin_00001069	prot_S-ischiensis_contig3.9048.1	prot_S-promiscuus_M_contig13.2277.1
OG0001823	Ddudresnayi_g20584.t1, Ddudresnayi_g20585.t1	prot_D-herbacea_M_contig164.3548.1	Ec-05_003910.1	Upin_00011091, Upin_00011092	prot_S-ischiensis_contig9.20436.1, prot_S-ischiensis_contig9.20439.1	prot_S-promiscuus_M_contig41.13077.1
OG0001824	Ddudresnayi_g20588.t1, Ddudresnayi_g20588.t2	prot_D-herbacea_M_contig164.3550.1, prot_D-herbacea_M_contig164.3554.1	Ec-05_003830.1	Upin_00011095	prot_S-ischiensis_contig73.18676.1, prot_S-ischiensis_contig73.18678.1	prot_S-promiscuus_M_contig41.13092.1
OG0001825	Ddudresnayi_g20589.t1	prot_D-herbacea_M_contig164.3556.1	Ec-05_003850.1	Upin_00010666	prot_S-ischiensis_contig5.14171.1, prot_S-ischiensis_contig9.20384.1, prot_S-ischiensis_contig9.20385.1	prot_S-promiscuus_M_contig41.13089.1, prot_S-promiscuus_M_contig41.13090.1
OG0001826	Ddudresnayi_g20627.t1	prot_D-herbacea_M_contig232.6313.1	Ec-05_003410.1, Ec-05_003410.2	Upin_00010648, Upin_00012000	prot_S-ischiensis_contig9.20391.1, prot_S-ischiensis_contig9.20392.1	prot_S-promiscuus_M_contig20.5941.1
OG0001827	Ddudresnayi_g20808.t1	prot_D-herbacea_M_contig54.12541.1	Ec-01_000170.1, Ec-01_000170.2, Ec-01_000170.3	Upin_00022466	prot_S-ischiensis_contig23.7274.1, prot_S-ischiensis_contig23.7275.1	prot_S-promiscuus_M_contig36.11044.1
OG0001828	Ddudresnayi_g20813.t1, Ddudresnayi_g20814.t1, Ddudresnayi_g20815.t1	prot_D-herbacea_M_contig54.12537.1	Ec-01_000110.1, Ec-01_000120.1	Upin_00022464	prot_S-ischiensis_contig18.4809.1	prot_S-promiscuus_M_contig36.11039.1
OG0001829	Ddudresnayi_g20888.t1, Ddudresnayi_g20889.t1	prot_D-herbacea_M_contig54.12479.1	Ec-01_000930.1, Ec-01_000930.2	Upin_00023212	prot_S-ischiensis_contig1.295.1, prot_S-ischiensis_contig1.297.1	prot_S-promiscuus_M_contig36.11123.1
OG0001830	Ddudresnayi_g20966.t1, Ddudresnayi_g20967.t1	prot_D-herbacea_M_contig22.5931.1	Ec-01_001600.1	Upin_00022866	prot_S-ischiensis_contig1.763.1, prot_S-ischiensis_contig1.764.1, prot_S-ischiensis_contig86.20201.1	prot_S-promiscuus_M_contig36.11183.1
OG0001831	Ddudresnayi_g20984.t1	prot_D-herbacea_M_contig22.5910.1, prot_D-herbacea_M_contig22.5911.1, prot_D-herbacea_M_contig22.5912.1	Ec-01_001900.1, Ec-01_001910.1	Upin_00022527	prot_S-ischiensis_contig1.900.1	prot_S-promiscuus_M_contig36.11205.1
OG0001832	Ddudresnayi_g21012.t1	prot_D-herbacea_M_contig22.5888.1	Ec-01_002250.1	Upin_00004718, Upin_00006159, Upin_00009709, Upin_00023272	prot_S-ischiensis_contig1.249.1	prot_S-promiscuus_M_contig36.11252.1
OG0001833	Ddudresnayi_g21269.t1	prot_D-herbacea_M_contig158.3197.1, prot_D-herbacea_M_contig158.3198.1, prot_D-herbacea_M_contig158.3199.1	Ec-25_003670.1, Ec-25_003680.1	Upin_00022090, Upin_00022249		prot_S-promiscuus_M_contig62.16749.1
OG0001834	Ddudresnayi_g21527.t1, Ddudresnayi_g21531.t1	prot_D-herbacea_M_contig102.469.1	Ec-13_001990.1, Ec-sdr_f_000040.1, Ec-sdr_f_000130.1	Upin_00015486, Upin_00015816		prot_S-promiscuus_M_contig1.176.1
OG0001835	Ddudresnayi_g21603.t1	prot_D-herbacea_M_contig146.2691.1	Ec-13_000710.1, Ec-13_000710.2, Ec-13_000710.3	Upin_00016033	prot_S-ischiensis_contig61.16941.1, prot_S-ischiensis_contig61.16942.1	prot_S-promiscuus_M_contig72.17657.1
OG0001836	Ddudresnayi_g21642.t1, Ddudresnayi_g21643.t1, Ddudresnayi_g21644.t1, Ddudresnayi_g21645.t1, Ddudresnayi_g21646.t1, Ddudresnayi_g21801.t1, Ddudresnayi_g21804.t1	prot_D-herbacea_M_contig163.3522.1, prot_D-herbacea_M_contig163.3523.1				
OG0001837	Ddudresnayi_g21795.t1, Ddudresnayi_g21797.t1, Ddudresnayi_g21798.t1	prot_D-herbacea_M_contig12.1451.1	Ec-28_002770.1	Upin_00025563	prot_S-ischiensis_contig4.12081.1, prot_S-ischiensis_contig4.12082.1	prot_S-promiscuus_M_contig7.17153.1
OG0001838	Ddudresnayi_g23331.t1, Ddudresnayi_g23332.t1	prot_D-herbacea_M_contig140.2464.1	Ec-05_006880.1	Upin_00010553, Upin_00011913	prot_S-ischiensis_contig9.20489.1, prot_S-ischiensis_contig9.20492.1	prot_S-promiscuus_M_contig49.14144.1
OG0001839	Ddudresnayi_g24731.t1	prot_D-herbacea_M_contig191.4556.1	Ec-25_002660.1, Ec-25_002660.2, Ec-25_002660.3	Upin_00022040, Upin_00022041	prot_S-ischiensis_contig115.2460.1	prot_S-promiscuus_M_contig52.15324.1
OG0001840	Ddudresnayi_g24734.t1	prot_D-herbacea_M_contig191.4548.1, prot_D-herbacea_M_contig191.4549.1, prot_D-herbacea_M_contig191.4550.1, prot_D-herbacea_M_contig191.4551.1	Ec-25_002770.1	Upin_00021981	prot_S-ischiensis_contig44.13102.1	prot_S-promiscuus_M_contig52.15331.1
OG0001841	Ddudresnayi_g24840.t1	prot_D-herbacea_M_contig25.6661.1	Ec-25_002800.1, Ec-25_002800.2, Ec-25_002800.3	Upin_00022036	prot_S-ischiensis_contig17.4365.1	prot_S-promiscuus_M_contig15.3135.1, prot_S-promiscuus_M_contig52.15297.1
OG0001842	Ddudresnayi_g24877.t1, Ddudresnayi_g26769.t1, Ddudresnayi_g26770.t1	prot_D-herbacea_M_contig25.6691.1			prot_S-ischiensis_contig13.2978.1, prot_S-ischiensis_contig13.2981.1	prot_S-promiscuus_M_contig52.15275.1, prot_S-promiscuus_M_contig52.15276.1, prot_S-promiscuus_M_contig52.15277.1
OG0001843	Ddudresnayi_g24942.t1, Ddudresnayi_g24943.t1	prot_D-herbacea_M_contig10.266.1	Ec-25_002020.1, Ec-25_002020.3		prot_S-ischiensis_contig33.10393.1	prot_S-promiscuus_M_contig38.11682.1, prot_S-promiscuus_M_contig38.11765.1, prot_S-promiscuus_M_contig38.11767.1
OG0001844	Ddudresnayi_g24950.t1	prot_D-herbacea_M_contig10.270.1	Ec-25_002000.1, Ec-25_002000.2	Upin_00022168	prot_S-ischiensis_contig57.15852.1, prot_S-ischiensis_contig57.15853.1, prot_S-ischiensis_contig57.15854.1	prot_S-promiscuus_M_contig38.11754.1
OG0001845	Ddudresnayi_g25096.t1, Ddudresnayi_g25097.t1	prot_D-herbacea_M_contig348.9133.1, prot_D-herbacea_M_contig348.9134.1	Ec-25_000150.1	Upin_00018348	prot_S-ischiensis_contig29.8681.1	prot_S-promiscuus_M_contig38.11522.1, prot_S-promiscuus_M_contig38.11523.1
OG0001846	Ddudresnayi_g25178.t1	prot_D-herbacea_M_contig364.9434.1	Ec-24_004160.1, Ec-24_004160.2	Upin_00016214	prot_S-ischiensis_contig6.16730.1, prot_S-ischiensis_contig6.16731.1	prot_S-promiscuus_M_contig71.17638.1, prot_S-promiscuus_M_contig71.17639.1
OG0001847	Ddudresnayi_g25223.t1, Ddudresnayi_g25224.t1	prot_D-herbacea_M_contig168.3714.1	Ec-24_003610.1, Ec-24_003610.2, Ec-24_003610.3	Upin_00016236	prot_S-ischiensis_contig46.13483.1	prot_S-promiscuus_M_contig55.15589.1
OG0001848	Ddudresnayi_g25239.t1	prot_D-herbacea_M_contig495.11710.1, prot_D-herbacea_M_contig495.11711.1	Ec-24_003120.1	Upin_00016253	prot_S-ischiensis_contig46.13388.1, prot_S-ischiensis_contig46.13389.1	prot_S-promiscuus_M_contig56.15664.1, prot_S-promiscuus_M_contig56.15665.1
OG0001849	Ddudresnayi_g25291.t1	prot_D-herbacea_M_contig344.9084.1	Ec-05_005010.1, Ec-05_005100.1, Ec-24_002870.1		prot_S-ischiensis_contig6.16285.1, prot_S-ischiensis_contig6.16286.1	prot_S-promiscuus_M_contig56.15680.1, prot_S-promiscuus_M_contig56.15686.1
OG0001850	Ddudresnayi_g25295.t1, Ddudresnayi_g25296.t1	prot_D-herbacea_M_contig344.9082.1, prot_D-herbacea_M_contig88.15546.1	Ec-24_003050.1, Ec-24_003050.2		prot_S-ischiensis_contig6.16284.1	prot_S-promiscuus_M_contig56.15637.1, prot_S-promiscuus_M_contig56.15638.1
OG0001851	Ddudresnayi_g25343.t1	prot_D-herbacea_M_contig52.12240.1	Ec-12_003450.1, Ec-12_003450.2	Upin_00027994	prot_S-ischiensis_contig1.848.1, prot_S-ischiensis_contig22.6606.1	prot_S-promiscuus_M_contig30.9683.1, prot_S-promiscuus_M_contig5.14671.1
OG0001852	Ddudresnayi_g25549.t1	prot_D-herbacea_M_contig15.2880.1	Ec-23_003330.1	Upin_00005678	prot_S-ischiensis_contig6.16478.1	prot_S-promiscuus_M_contig100.1299.1, prot_S-promiscuus_M_contig25.7291.1, prot_S-promiscuus_M_contig25.7295.1, prot_S-promiscuus_M_contig25.7299.1
OG0001853	Ddudresnayi_g25550.t1	prot_D-herbacea_M_contig15.2879.1	Ec-23_003340.1	Upin_00005499	prot_S-ischiensis_contig24.7352.1	prot_S-promiscuus_M_contig100.1298.1, prot_S-promiscuus_M_contig25.7289.1, prot_S-promiscuus_M_contig25.7293.1, prot_S-promiscuus_M_contig25.7294.1
OG0001854	Ddudresnayi_g25604.t1	prot_D-herbacea_M_contig156.3128.1, prot_D-herbacea_M_contig156.3129.1	Ec-23_002680.1, Ec-23_002690.1	Upin_00005481	prot_S-ischiensis_contig47.13638.1, prot_S-ischiensis_contig47.13640.1	prot_S-promiscuus_M_contig25.7374.1
OG0001855	Ddudresnayi_g25660.t1	prot_D-herbacea_M_contig465.11288.1, prot_D-herbacea_M_contig465.11289.1	Ec-23_001480.1	Upin_00005640	prot_S-ischiensis_contig7.17933.1, prot_S-ischiensis_contig7.17935.1	prot_S-promiscuus_M_contig25.7473.1, prot_S-promiscuus_M_contig25.7474.1
OG0001856	Ddudresnayi_g25943.t1, Ddudresnayi_g25944.t1	prot_D-herbacea_M_contig33.8867.1	Ec-07_007140.1, Ec-07_007140.2	Upin_00021323	prot_S-ischiensis_contig31.9975.1, prot_S-ischiensis_contig31.9976.1	prot_S-promiscuus_M_contig26.7631.1
OG0001857	Ddudresnayi_g26115.t1, Ddudresnayi_g26116.t1	prot_D-herbacea_M_contig196.4725.1	Ec-24_001360.1, Ec-24_001360.2, Ec-24_001360.3, Ec-24_001360.5	Upin_00016145		prot_S-promiscuus_M_contig54.15503.1
OG0001858	Ddudresnayi_g26162.t1, Ddudresnayi_g26163.t1	prot_D-herbacea_M_contig166.3619.1, prot_D-herbacea_M_contig166.3620.1	Ec-24_001970.1, Ec-24_001970.2	Upin_00016254	prot_S-ischiensis_contig2.5416.1	prot_S-promiscuus_M_contig46.13848.1
OG0001859	Ddudresnayi_g26253.t1	prot_D-herbacea_M_contig491.11673.1	Ec-05_003580.1, Ec-05_003580.2	Upin_00008754, Upin_00025381, Upin_00027608	prot_S-ischiensis_contig59.16071.1	prot_S-promiscuus_M_contig20.5958.1
OG0001860	Ddudresnayi_g26278.t1, Ddudresnayi_g26279.t1	prot_D-herbacea_M_contig48.11517.1	Ec-05_003130.1, Ec-05_003130.2, Ec-05_003130.3	Upin_00008748	prot_S-ischiensis_contig59.16066.1	prot_S-promiscuus_M_contig20.5922.1
OG0001861	Ddudresnayi_g26391.t1	prot_D-herbacea_M_contig44.10930.1, prot_D-herbacea_M_contig44.10931.1	Ec-14_001710.1, Ec-14_001710.2, Ec-14_001710.3	Upin_00011208		prot_S-promiscuus_M_contig4.12553.1, prot_S-promiscuus_M_contig4.12554.1
OG0001862	Ddudresnayi_g26421.t1	prot_D-herbacea_M_contig44.10905.1	Ec-14_001140.1, Ec-14_001140.2, Ec-14_001140.3	Upin_00011192	prot_S-ischiensis_contig53.15083.1, prot_S-ischiensis_contig53.15085.1	prot_S-promiscuus_M_contig4.12625.1
OG0001863	Ddudresnayi_g26434.t1, Ddudresnayi_g26435.t1, Ddudresnayi_g26436.t1, Ddudresnayi_g26437.t1	prot_D-herbacea_M_contig44.10894.1	Ec-14_002750.1	Upin_00010902	prot_S-ischiensis_contig12.2774.1	prot_S-promiscuus_M_contig4.12293.1
OG0001864	Ddudresnayi_g26496.t1, Ddudresnayi_g26497.t1, Ddudresnayi_g26498.t1	prot_D-herbacea_M_contig80.15057.1, prot_D-herbacea_M_contig80.15058.1	Ec-14_002420.1	Upin_00010886	prot_S-ischiensis_contig16.4109.1	prot_S-promiscuus_M_contig4.12490.1
OG0001865	Ddudresnayi_g26523.t1, Ddudresnayi_g26524.t1	prot_D-herbacea_M_contig80.15042.1	Ec-14_004530.1	Upin_00010878	prot_S-ischiensis_contig10.1585.1, prot_S-ischiensis_contig10.1586.1, prot_S-ischiensis_contig50.14517.1	prot_S-promiscuus_M_contig4.12454.1
OG0001866	Ddudresnayi_g26568.t1	prot_D-herbacea_M_contig11.854.1	Ec-14_006030.1, Ec-14_006030.3, Ec-14_006030.4, Ec-14_006030.5	Upin_00010861, Upin_00010862		prot_S-promiscuus_M_contig4.12100.1
OG0001867	Ddudresnayi_g26611.t1, Ddudresnayi_g26612.t1, Ddudresnayi_g26613.t1	prot_D-herbacea_M_contig11.890.1	Ec-14_001800.1	Upin_00010823	prot_S-ischiensis_contig10.1350.1, prot_S-ischiensis_contig10.1352.1	prot_S-promiscuus_M_contig4.12538.1
OG0001868	Ddudresnayi_g26916.t1, Ddudresnayi_g26917.t1	prot_D-herbacea_M_contig197.4746.1, prot_D-herbacea_M_contig197.4747.1	Ec-14_006300.1		prot_S-ischiensis_contig4.11916.1, prot_S-ischiensis_contig4.11917.1, prot_S-ischiensis_contig4.11921.1	prot_S-promiscuus_M_contig4.12069.1
OG0001869	Ddudresnayi_g26920.t1, Ddudresnayi_g26922.t1	prot_D-herbacea_M_contig197.4749.1, prot_D-herbacea_M_contig197.4751.1	Ec-14_006250.1	Upin_00010970	prot_S-ischiensis_contig10.1306.1	prot_S-promiscuus_M_contig4.12071.1, prot_S-promiscuus_M_contig4.12447.1
OG0001870	Ddudresnayi_g26925.t1, Ddudresnayi_g26926.t1, Ddudresnayi_g26927.t1	prot_D-herbacea_M_contig197.4756.1	Ec-00_009930.1, Ec-00_009930.2	Upin_00011888	prot_S-ischiensis_contig48.13703.1	prot_S-promiscuus_M_contig4.12236.1
OG0001871	Ddudresnayi_g26966.t1, Ddudresnayi_g26967.t1	prot_D-herbacea_M_contig17.3773.1, prot_D-herbacea_M_contig17.3774.1	Ec-14_002070.1	Upin_00010794	prot_S-ischiensis_contig50.14721.1, prot_S-ischiensis_contig50.14722.1	prot_S-promiscuus_M_contig4.12519.1
OG0001872	Ddudresnayi_g26976.t1	prot_D-herbacea_M_contig17.3780.1, prot_D-herbacea_M_contig17.3781.1, prot_D-herbacea_M_contig17.3782.1	Ec-14_004150.1	Upin_00011297	prot_S-ischiensis_contig36.11018.1, prot_S-ischiensis_contig36.11019.1	prot_S-promiscuus_M_contig4.12443.1
OG0001873	Ddudresnayi_g26982.t1, Ddudresnayi_g26983.t1	prot_D-herbacea_M_contig17.3787.1, prot_D-herbacea_M_contig17.3788.1	Ec-14_004120.1, Ec-14_004120.2	Upin_00012237	prot_S-ischiensis_contig48.13741.1	prot_S-promiscuus_M_contig4.12441.1
OG0001874	Ddudresnayi_g27019.t1	prot_D-herbacea_M_contig12.1497.1, prot_D-herbacea_M_contig17.3826.1, prot_D-herbacea_M_contig629.13574.1	Ec-00_004510.1, Ec-03_002280.1, Ec-17_001050.1	Upin_00022060		prot_S-promiscuus_M_contig6.16380.1
OG0001875	Ddudresnayi_g27023.t1	prot_D-herbacea_M_contig17.3828.1	Ec-14_005080.1	Upin_00011381	prot_S-ischiensis_contig1.1043.1, prot_S-ischiensis_contig1.1044.1, prot_S-ischiensis_contig1.1045.1, prot_S-ischiensis_contig42.12816.1	prot_S-promiscuus_M_contig4.12187.1
OG0001876	Ddudresnayi_g27056.t1	prot_D-herbacea_M_contig133.2139.1, prot_D-herbacea_M_contig133.2140.1	Ec-14_002790.1, Ec-14_002790.2	Upin_00010904	prot_S-ischiensis_contig35.10832.1, prot_S-ischiensis_contig35.10834.1	prot_S-promiscuus_M_contig4.12298.1
OG0001877	Ddudresnayi_g27075.t1, Ddudresnayi_g27076.t1, Ddudresnayi_g27077.t1	prot_D-herbacea_M_contig133.2116.1	Ec-14_006500.1	Upin_00018164	prot_S-ischiensis_contig48.13706.1, prot_S-ischiensis_contig48.13710.1	prot_S-promiscuus_M_contig4.12034.1
OG0001878	Ddudresnayi_g27171.t1	prot_D-herbacea_M_contig322.8670.1	Ec-14_003860.1, Ec-14_003860.2, Ec-14_003860.4, Ec-14_003860.5	Upin_00012357	prot_S-ischiensis_contig36.11038.1	prot_S-promiscuus_M_contig4.12422.1
OG0001879	Ddudresnayi_g27183.t1, Ddudresnayi_g27183.t2	prot_D-herbacea_M_contig106.673.1	Ec-00_005950.1, Ec-00_005950.2	Upin_00018146	prot_S-ischiensis_contig53.15109.1, prot_S-ischiensis_contig53.15110.1	prot_S-promiscuus_M_contig4.12407.1
OG0001880	Ddudresnayi_g27210.t1, Ddudresnayi_g27211.t1, Ddudresnayi_g27212.t1	prot_D-herbacea_M_contig145.2676.1	Ec-21_006380.1	Upin_00002583	prot_S-ischiensis_contig1.454.1, prot_S-ischiensis_contig1.455.1	prot_S-promiscuus_M_contig19.4699.1
OG0001881	Ddudresnayi_g27218.t1, Ddudresnayi_g27219.t1	prot_D-herbacea_M_contig145.2673.1	Ec-21_006350.1	Upin_00002585	prot_S-ischiensis_contig1.1147.1, prot_S-ischiensis_contig1.1152.1, prot_S-ischiensis_contig1.1153.1	prot_S-promiscuus_M_contig19.4697.1
OG0001882	Ddudresnayi_g27321.t1	prot_D-herbacea_M_contig46.11185.1, prot_D-herbacea_M_contig46.11186.1	Ec-21_005880.2, Ec-21_005890.1	Upin_00002619	prot_S-ischiensis_contig69.17879.1, prot_S-ischiensis_contig69.17881.1	prot_S-promiscuus_M_contig19.4561.1
OG0001883	Ddudresnayi_g27443.t1, Ddudresnayi_g27444.t1		Ec-19_002690.1, Ec-19_002690.2	Upin_00003725	prot_S-ischiensis_contig49.13883.1, prot_S-ischiensis_contig8.19675.1, prot_S-ischiensis_contig8.19677.1	prot_S-promiscuus_M_contig21.5986.1
OG0001884	Ddudresnayi_g27477.t1, Ddudresnayi_g27478.t1	prot_D-herbacea_M_contig303.8239.1, prot_D-herbacea_M_contig303.8240.1	Ec-19_002790.1	Upin_00003978	prot_S-ischiensis_contig31.9935.1, prot_S-ischiensis_contig38.11579.1	prot_S-promiscuus_M_contig21.6006.1
OG0001885	Ddudresnayi_g27481.t1	prot_D-herbacea_M_contig303.8243.1	Ec-19_002750.1, Ec-19_002760.1	Upin_00003737	prot_S-ischiensis_contig14.3321.1	prot_S-promiscuus_M_contig21.5999.1, prot_S-promiscuus_M_contig21.6001.1, prot_S-promiscuus_M_contig21.6002.1
OG0001886	Ddudresnayi_g27509.t1, Ddudresnayi_g27510.t1, Ddudresnayi_g27511.t1, Ddudresnayi_g27512.t1, Ddudresnayi_g27513.t1	prot_D-herbacea_M_contig51.12129.1	Ec-19_005160.1	Upin_00004543		prot_S-promiscuus_M_contig21.6251.1
OG0001887	Ddudresnayi_g27522.t1	prot_D-herbacea_M_contig51.12125.1	Ec-19_005100.1, Ec-19_005100.3	Upin_00004071, Upin_00004072	prot_S-ischiensis_contig38.11455.1, prot_S-ischiensis_contig38.11456.1	prot_S-promiscuus_M_contig21.6245.1
OG0001888	Ddudresnayi_g27537.t1	prot_D-herbacea_M_contig51.12110.1	Ec-19_004270.1, Ec-19_004270.2, Ec-19_004270.3, Ec-19_004270.4	Upin_00004048	prot_S-ischiensis_contig8.19678.1	prot_S-promiscuus_M_contig21.6183.1
OG0001889	Ddudresnayi_g27552.t1		Ec-19_004110.1, Ec-19_004110.2, Ec-19_004110.3, Ec-19_004110.4	Upin_00003785, Upin_00003786	prot_S-ischiensis_contig5.14445.1	prot_S-promiscuus_M_contig21.6168.1
OG0001890	Ddudresnayi_g27578.t1, Ddudresnayi_g27578.t2	prot_D-herbacea_M_contig51.12070.1	Ec-19_005050.1, Ec-19_005050.2	Upin_00004546	prot_S-ischiensis_contig19.4985.1, prot_S-ischiensis_contig5.14418.1	prot_S-promiscuus_M_contig21.6242.1
OG0001891	Ddudresnayi_g27608.t1, Ddudresnayi_g27609.t1, Ddudresnayi_g27610.t1	prot_D-herbacea_M_contig179.4138.1	Ec-19_004760.1, Ec-19_004760.2	Upin_00003835	prot_S-ischiensis_contig5.14451.1	prot_S-promiscuus_M_contig21.6217.1
OG0001892	Ddudresnayi_g27617.t1	prot_D-herbacea_M_contig179.4130.1	Ec-19_004730.1, Ec-19_004730.2	Upin_00004086, Upin_00004303, Upin_00004304	prot_S-ischiensis_contig5.14492.1	prot_S-promiscuus_M_contig21.6202.1
OG0001893	Ddudresnayi_g27803.t1, Ddudresnayi_g27804.t1	prot_D-herbacea_M_contig78.14829.1	Ec-00_001410.1, Ec-01_000040.1	Upin_00001699	prot_S-ischiensis_contig17.4378.1, prot_S-ischiensis_contig17.4379.1	prot_S-promiscuus_M_contig1.355.1
OG0001894	Ddudresnayi_g27808.t1, Ddudresnayi_g27809.t1	prot_D-herbacea_M_contig78.14825.1	Ec-00_001370.1, Ec-00_001370.2, Ec-00_001370.3	Upin_00002451	prot_S-ischiensis_contig44.13042.1	prot_S-promiscuus_M_contig1.362.1
OG0001895	Ddudresnayi_g27826.t1	prot_D-herbacea_M_contig78.14812.1, prot_D-herbacea_M_contig78.14813.1, prot_D-herbacea_M_contig78.14814.1	Ec-27_002380.1, Ec-27_002380.2	Upin_00001323	prot_S-ischiensis_contig3.9211.1	prot_S-promiscuus_M_contig1.711.1
OG0001896	Ddudresnayi_g27830.t1	prot_D-herbacea_M_contig78.14804.1, prot_D-herbacea_M_contig78.14806.1, prot_D-herbacea_M_contig78.14807.1	Ec-27_002270.1, Ec-27_002270.2	Upin_00001687	prot_S-ischiensis_contig115.2467.1	prot_S-promiscuus_M_contig1.708.1
OG0001897	Ddudresnayi_g27897.t1	prot_D-herbacea_M_contig111.1056.1	Ec-00_001530.1, Ec-13_003020.1	Upin_00001236	prot_S-ischiensis_contig17.4461.1	prot_S-promiscuus_M_contig1.407.1, prot_S-promiscuus_M_contig12.1949.1, prot_S-promiscuus_M_contig12.1952.1
OG0001898	Ddudresnayi_g27930.t1, Ddudresnayi_g27932.t1	prot_D-herbacea_M_contig111.1085.1	Ec-00_001680.1, Ec-00_001710.1	Upin_00001584	prot_S-ischiensis_contig84.20054.1	prot_S-promiscuus_M_contig1.439.1, prot_S-promiscuus_M_contig1.441.1
OG0001899	Ddudresnayi_g27974.t1, Ddudresnayi_g27976.t1	prot_D-herbacea_M_contig39.9865.1	Ec-27_000100.1, Ec-27_000110.1	Upin_00001602	prot_S-ischiensis_contig3.9156.1, prot_S-ischiensis_contig3.9157.1	prot_S-promiscuus_M_contig1.488.1
OG0001900	Ddudresnayi_g27979.t1	prot_D-herbacea_M_contig39.9868.1	Ec-27_000060.1	Upin_00001209, Upin_00001210, Upin_00001211, Upin_00001212	prot_S-ischiensis_contig3.9619.1	prot_S-promiscuus_M_contig1.481.1
